,Long,Lat,Stn_Name,Clim_ID,Prov_or_Ter,Tm,DwTm,Tx,DwTx,Tn,DwTn,P,DwP,Pd,HDD,CDD,year,month,province_full_name,region
223,-120.172,50.63,KAMLOOPS PRATT ROAD,116C8P0,BC,-2.0,0.0,6.5,0.0,-17.0,0.0,38.4,0.0,11.0,620.3,0.0,2018,1,British Columbia,Western
227,-116.982,51.299,GOLDEN A,1173210,BC,-5.4,0.0,3.0,0.0,-25.0,0.0,48.8,0.0,8.0,726.7,0.0,2018,1,British Columbia,Western
230,-118.585,52.053,MICA DAM,1175122,BC,-3.3,4.0,3.0,2.0,-15.0,2.0,160.6,2.0,19.0,574.7,0.0,2018,1,British Columbia,Western
231,-118.183,50.967,REVELSTOKE A,1176745,BC,-3.0,9.0,5.1,9.0,-20.6,9.0,119.7,9.0,15.0,462.7,0.0,2018,1,British Columbia,Western
242,-122.574,58.841,FORT NELSON,1192948,BC,-18.3,0.0,-2.7,0.0,-40.3,0.0,27.1,0.0,11.0,1124.5,0.0,2018,1,British Columbia,Western
243,-130.025,58.426,DEASE LAKE (AUT),119BLM0,BC,-15.5,0.0,-1.4,0.0,-39.6,0.0,21.8,0.0,8.0,1037.7,0.0,2018,1,British Columbia,Western
248,-111.779,52.315,ALLIANCE AGCM,3010162,AB,-9.8,0.0,7.1,0.0,-34.8,0.0,5.3,0.0,2.0,862.5,0.0,2018,1,Alberta,Western
249,-112.279,53.917,ANDREW AGDM,3010237,AB,-12.3,4.0,3.8,4.0,-35.9,3.0,15.3,4.0,2.0,817.0,0.0,2018,1,Alberta,Western
254,-110.51,52.334,CADOGAN AGCM,3010992,AB,-11.1,0.0,6.4,0.0,-32.5,0.0,5.2,0.0,3.0,902.7,0.0,2018,1,Alberta,Western
255,-112.817,53.05,CAMROSE,3011240,AB,-9.7,2.0,7.8,1.0,-30.6,1.0,7.7,2.0,3.0,802.7,0.0,2018,1,Alberta,Western
265,-113.579,53.31,EDMONTON INTL A,3012216,AB,-11.0,0.0,6.3,0.0,-34.6,0.0,14.6,0.0,4.0,897.9,0.0,2018,1,Alberta,Western
267,-114.108,53.548,EDMONTON STONY PLAIN,301222F,AB,-8.4,0.0,9.5,0.0,-30.0,0.0,11.0,0.0,4.0,817.7,0.0,2018,1,Alberta,Western
268,-112.868,53.683,ELK ISLAND NAT PARK,3012275,AB,-10.3,0.0,9.0,0.0,-35.4,0.0,36.0,0.0,8.0,878.5,0.0,2018,1,Alberta,Western
269,-111.0,52.967,FABYAN,3012515,AB,-14.1,0.0,7.5,0.0,-36.0,0.0,13.0,0.0,5.0,993.7,0.0,2018,1,Alberta,Western
277,-111.212,51.78,HEMARUKA AGCM,3013140,AB,-11.8,0.0,4.5,0.0,-33.8,0.0,2.7,20.0,1.0,923.1,0.0,2018,1,Alberta,Western
278,-112.246,53.185,HOLDEN AGDM,3013340,AB,-11.6,6.0,6.8,5.0,-32.2,5.0,15.8,4.0,5.0,740.4,0.0,2018,1,Alberta,Western
285,-110.073,53.309,LLOYDMINSTER A,3013961,AB,-12.8,0.0,5.5,0.0,-32.0,0.0,23.0,0.0,5.0,955.9,0.0,2018,1,Alberta,Western
294,-111.726,53.425,RANFURLY AUTO,3015401,AB,-9.7,11.0,4.6,11.0,-29.4,9.0,9.3,11.0,2.0,553.7,0.0,2018,1,Alberta,Western
297,-114.912,52.421,ROCKY MTN HOUSE (AUT),3015523,AB,-11.2,0.0,9.9,0.0,-35.6,0.0,9.8,0.0,3.0,905.7,0.0,2018,1,Alberta,Western
318,-110.206,51.67,ESTHER 1,301B460,AB,-10.6,0.0,6.2,0.0,-34.6,0.0,2.3,0.0,1.0,885.3,0.0,2018,1,Alberta,Western
321,-110.317,51.066,ACADIA VALLEY,3020035,AB,-9.9,0.0,7.6,0.0,-33.6,0.0,4.6,3.0,1.0,864.6,0.0,2018,1,Alberta,Western
322,-111.006,50.81,ATLEE AGCM,3020405,AB,-9.9,0.0,7.1,0.0,-35.3,0.0,2.8,0.0,1.0,864.8,0.0,2018,1,Alberta,Western
323,-113.357,51.379,BEISEKER AGCM,3020610,AB,-11.2,0.0,6.5,0.0,-38.6,0.0,4.8,0.0,2.0,904.6,0.0,2018,1,Alberta,Western
325,-112.252,51.775,CRAIGMYLE AGCM,3021912,AB,-11.0,0.0,4.9,0.0,-33.4,0.0,5.7,2.0,1.0,899.1,0.0,2018,1,Alberta,Western
330,-113.756,52.449,LACOMBE CDA 2,3023722,AB,-11.0,0.0,7.5,0.0,-33.4,0.0,10.7,0.0,4.0,898.7,0.0,2018,1,Alberta,Western
343,-113.591,51.936,WIMBORNE AGCM,3027582,AB,-10.1,0.0,7.0,0.0,-36.5,0.0,6.6,2.0,2.0,870.4,0.0,2018,1,Alberta,Western
346,-113.224,50.026,BARONS AGCM,3030529,AB,-7.7,0.0,8.8,0.0,-40.0,0.0,3.1,1.0,1.0,795.7,0.0,2018,1,Alberta,Western
347,-112.465,50.893,BASSANO AGCM,3030540,AB,-11.1,0.0,5.5,0.0,-38.8,0.0,5.4,0.0,2.0,900.9,0.0,2018,1,Alberta,Western
350,-111.45,49.734,BOW ISLAND,3030768,AB,-7.7,0.0,6.4,0.0,-36.9,0.0,22.6,0.0,7.0,797.3,0.0,2018,1,Alberta,Western
353,-111.849,50.555,BROOKS,3030QLP,AB,-10.3,0.0,7.4,0.0,-39.4,0.0,6.1,0.0,4.0,876.2,0.0,2018,1,Alberta,Western
354,-114.013,51.123,CALGARY INTL A,3031092,AB,-6.2,1.0,9.6,0.0,-30.2,1.0,8.5,0.0,3.0,727.1,0.0,2018,1,Alberta,Western
357,-113.376,49.001,CARWAY,3031402,AB,-3.1,0.0,10.3,0.0,-31.6,0.0,5.3,0.0,1.0,652.7,0.0,2018,1,Alberta,Western
369,-110.261,49.989,IRVINE AGCM,3033550,AB,-7.3,0.0,8.0,0.0,-35.3,0.0,7.0,3.0,4.0,785.2,0.0,2018,1,Alberta,Western
379,-112.983,50.606,QUEENSTOWN,3035340,AB,-8.7,0.0,7.0,0.0,-39.0,0.0,9.0,0.0,5.0,826.4,0.0,2018,1,Alberta,Western
381,-112.683,49.483,RAYMOND AGDM,3035422,AB,-5.6,5.0,8.9,5.0,-34.4,0.0,9.2,15.0,3.0,613.5,0.0,2018,1,Alberta,Western
384,-110.917,49.917,SEVEN PERSONS AGDM,3035845,AB,-8.6,0.0,5.5,0.0,-36.8,0.0,10.3,3.0,4.0,825.2,0.0,2018,1,Alberta,Western
388,-112.124,49.792,TABER,3036360,AB,-6.2,13.0,10.0,8.0,-36.0,9.0,33.0,8.0,6.0,435.7,0.0,2018,1,Alberta,Western
392,-113.961,50.729,OKOTOKS,303M9JM,AB,-7.1,0.0,10.0,0.0,-33.0,0.0,7.8,0.0,3.0,778.1,0.0,2018,1,Alberta,Western
399,-115.552,51.193,BANFF CS,3050519,AB,-7.0,0.0,3.1,0.0,-35.0,0.0,15.4,0.0,7.0,775.0,0.0,2018,1,Alberta,Western
400,-114.175,49.468,BEAVER MINES,3050602,AB,-2.6,0.0,9.0,0.0,-35.7,0.0,21.0,0.0,7.0,638.0,0.0,2018,1,Alberta,Western
403,-118.03,52.926,JASPER WARDEN,3053536,AB,-8.3,2.0,6.6,1.0,-32.1,2.0,17.2,2.0,5.0,761.7,0.0,2018,1,Alberta,Western
409,-113.382,54.635,ATHABASCA AGCM,3060330,AB,-11.9,0.0,4.9,0.0,-38.0,0.0,12.5,17.0,2.0,927.1,0.0,2018,1,Alberta,Western
416,-116.453,53.58,EDSON CLIMATE,3062246,AB,-10.6,0.0,7.5,0.0,-35.5,0.0,20.5,0.0,4.0,888.0,0.0,2018,1,Alberta,Western
418,-115.062,53.614,EVANSBURG2 AGCM,3062476,AB,-11.4,0.0,7.6,0.0,-38.0,0.0,14.4,2.0,4.0,912.6,0.0,2018,1,Alberta,Western
420,-111.213,56.651,FORT MCMURRAY CS,3062696,AB,-16.6,0.0,4.4,0.0,-41.0,0.0,12.8,0.0,3.0,1074.1,0.0,2018,1,Alberta,Western
426,-111.7,54.5,RICH LAKE AGDM,3065475,AB,-14.3,0.0,4.7,0.0,-42.3,0.0,21.2,0.0,3.0,1001.5,0.0,2018,1,Alberta,Western
427,-114.777,55.293,SLAVE LAKE,3065995,AB,-13.7,13.0,3.8,13.0,-36.8,12.0,6.3,13.0,2.0,570.5,0.0,2018,1,Alberta,Western
432,-119.396,55.197,BEAVERLODGE RCS,3070600,AB,-10.6,0.0,5.3,0.0,-36.6,0.0,31.3,0.0,8.0,886.3,0.0,2018,1,Alberta,Western
436,-118.439,56.081,FAIRVIEW AGDM,3072525,AB,-14.0,0.0,3.0,0.0,-41.1,0.0,25.2,5.0,6.0,990.7,0.0,2018,1,Alberta,Western
437,-111.117,58.767,FORT CHIPEWYAN,3072655,AB,-20.8,11.0,-5.1,11.0,-40.9,11.0,5.0,11.0,2.0,775.3,0.0,2018,1,Alberta,Western
439,-116.04,58.382,FORT VERMILION,3072723,AB,-18.8,0.0,-0.8,0.0,-42.5,0.0,20.8,0.0,5.0,1140.9,0.0,2018,1,Alberta,Western
440,-118.885,55.18,GRANDE PRAIRIE A,3072921,AB,-12.1,0.0,5.8,0.0,-40.7,0.0,44.4,0.0,9.0,934.0,0.0,2018,1,Alberta,Western
441,-117.298,57.265,HAWK HILLS AGCM,3073071,AB,-15.8,0.0,1.5,0.0,-39.3,0.0,16.6,0.0,5.0,1048.2,0.0,2018,1,Alberta,Western
442,-117.165,58.622,HIGH LEVEL,3073140,AB,-17.4,6.0,-1.0,6.0,-43.0,6.0,2.6,6.0,2.0,884.7,0.0,2018,1,Alberta,Western
450,-117.448,56.227,PEACE RIVER A,3075041,AB,-14.4,0.0,2.3,0.0,-40.4,0.0,15.0,0.0,4.0,1005.7,0.0,2018,1,Alberta,Western
454,-119.345,56.076,SAVANNA AGCM,3075770,AB,-10.6,5.0,4.7,5.0,-37.0,0.0,24.7,5.0,7.0,743.3,0.0,2018,1,Alberta,Western
459,-110.283,54.417,COLD LAKE A,3081680,AB,-13.7,0.0,4.5,0.0,-39.0,0.0,28.6,0.0,4.0,981.3,0.0,2018,1,Alberta,Western
461,-104.71,50.201,BRATT'S LAKE CLIMATE,4010811,SK,-12.1,1.0,5.7,1.0,-32.6,0.0,0.8,1.0,0.0,901.5,0.0,2018,1,Saskatchewan,Western
466,-102.967,49.217,ESTEVAN,4012410,SK,-12.7,1.0,6.0,1.0,-34.6,0.0,2.8,1.0,0.0,921.9,0.0,2018,1,Saskatchewan,Western
468,-103.753,51.257,KELLIHER,4013660,SK,-13.4,0.0,3.0,0.0,-31.5,0.0,23.8,0.0,6.0,972.3,0.0,2018,1,Saskatchewan,Western
469,-102.733,50.2,KIPLING,4014040,SK,-12.3,0.0,3.5,0.0,-30.5,0.0,8.0,0.0,6.0,938.9,0.0,2018,1,Saskatchewan,Western
471,-105.25,51.417,LAST MOUNTAIN CS,4014156,SK,-12.2,0.0,8.2,0.0,-31.5,0.0,4.1,0.0,2.0,937.5,0.0,2018,1,Saskatchewan,Western
472,-104.633,52.0,LEROY,4014322,SK,-13.7,1.0,3.0,1.0,-32.5,1.0,16.4,1.0,2.0,951.4,0.0,2018,1,Saskatchewan,Western
474,-105.538,50.332,MOOSE JAW CS,4015322,SK,-10.6,0.0,8.4,0.0,-33.5,0.0,1.1,0.0,0.0,886.8,0.0,2018,1,Saskatchewan,Western
476,-102.117,49.317,OXBOW,4015800,SK,-13.6,4.0,4.5,4.0,-37.0,4.0,1.6,4.0,0.0,852.0,0.0,2018,1,Saskatchewan,Western
477,-103.983,50.567,QU'APPELLE 1,4016322,SK,-12.0,0.0,5.0,0.0,-30.0,0.0,5.0,0.0,2.0,929.0,0.0,2018,1,Saskatchewan,Western
480,-104.183,49.817,YELLOW GRASS NORTH,4019041,SK,-11.8,0.0,6.5,0.0,-33.4,0.0,0.8,0.0,0.0,922.6,0.0,2018,1,Saskatchewan,Western
481,-102.464,51.265,YORKTON,4019073,SK,-13.5,0.0,3.7,0.0,-31.9,0.0,10.8,0.0,4.0,978.0,0.0,2018,1,Saskatchewan,Western
485,-105.946,49.729,ASSINIBOIA AIRPORT,4020286,SK,-10.0,0.0,6.4,0.0,-34.6,0.0,1.2,0.0,0.0,866.5,0.0,2018,1,Saskatchewan,Western
486,-107.311,50.832,BEECHY,4020560,SK,-9.6,0.0,9.0,0.0,-34.5,0.0,1.4,0.0,0.0,856.5,0.0,2018,1,Saskatchewan,Western
487,-106.583,51.133,ELBOW CS,4022359,SK,-11.3,0.0,8.6,0.0,-32.2,0.0,1.1,0.0,0.0,908.9,0.0,2018,1,Saskatchewan,Western
490,-109.466,49.903,MAPLE CREEK,4024919,SK,-6.7,0.0,10.9,0.0,-34.5,0.0,4.3,0.0,1.0,766.8,0.0,2018,1,Saskatchewan,Western
494,-107.733,50.267,SWIFT CURRENT CDA,4028060,SK,-9.0,0.0,6.9,0.0,-31.5,0.0,0.8,0.0,0.0,838.1,0.0,2018,1,Saskatchewan,Western
495,-109.501,50.909,LEADER AIRPORT,402DAF0,SK,-10.4,0.0,7.9,0.0,-35.6,0.0,5.0,0.0,2.0,881.4,0.0,2018,1,Saskatchewan,Western
497,-105.483,49.05,CORONACH SPC,40318MN,SK,-11.3,1.0,5.5,0.0,-39.8,1.0,0.6,1.0,0.0,879.9,0.0,2018,1,Saskatchewan,Western
502,-107.586,49.058,VAL MARIE SOUTHEAST,4038412,SK,-14.2,0.0,5.5,0.0,-37.5,0.0,1.9,0.0,0.0,997.0,0.0,2018,1,Saskatchewan,Western
504,-109.2,53.45,BUTTE ST PIERRE,4041000,SK,-13.8,0.0,4.5,0.0,-39.0,0.0,17.0,0.0,4.0,985.4,0.0,2018,1,Saskatchewan,Western
505,-109.181,51.515,KINDERSLEY A,4043901,SK,-11.2,0.0,5.5,0.0,-31.5,0.0,3.2,0.0,2.0,904.9,0.0,2018,1,Saskatchewan,Western
506,-108.256,52.772,NORTH BATTLEFORD RCS,4045607,SK,-14.2,0.0,4.8,0.0,-36.7,0.0,9.3,0.0,4.0,997.5,0.0,2018,1,Saskatchewan,Western
508,-107.917,51.567,ROSETOWN EAST,4046884,SK,-12.5,0.0,7.8,0.0,-32.1,0.0,2.2,0.0,0.0,944.2,0.0,2018,1,Saskatchewan,Western
509,-108.835,52.36,SCOTT CDA,4047240,SK,-13.9,0.0,4.1,0.0,-36.8,0.0,6.5,0.0,2.0,989.8,0.0,2018,1,Saskatchewan,Western
511,-104.6,52.817,MELFORT,4055079,SK,-15.8,0.0,2.8,0.0,-34.1,0.0,17.3,0.0,5.0,1048.1,0.0,2018,1,Saskatchewan,Western
513,-105.15,52.417,PILGER,4056121,SK,-14.4,0.0,3.7,0.0,-31.6,0.0,16.2,0.0,4.0,1004.9,0.0,2018,1,Saskatchewan,Western
515,-105.677,53.21,PRINCE ALBERT GLASS FIELD,4056243,SK,-16.9,0.0,3.1,0.0,-41.1,0.0,18.2,0.0,4.0,1080.8,0.0,2018,1,Saskatchewan,Western
516,-106.719,52.174,SASKATOON RCS,4057165,SK,-12.9,1.0,5.7,1.0,-32.5,0.0,9.4,1.0,2.0,927.8,0.0,2018,1,Saskatchewan,Western
517,-108.421,55.841,BUFFALO NARROWS (AUT),4060983,SK,-17.6,0.0,0.4,0.0,-37.8,0.0,15.6,0.0,7.0,1102.3,0.0,2018,1,Saskatchewan,Western
518,-104.483,58.083,CIGAR LAKE,4061570,SK,-27.1,0.0,-9.0,0.0,-40.0,0.0,17.0,0.0,6.0,1398.0,0.0,2018,1,Saskatchewan,Western
521,-103.7,58.183,COLLINS BAY CAMECO,4061632,SK,-25.1,0.0,-8.0,0.0,-37.0,0.0,46.2,0.0,8.0,1336.5,0.0,2018,1,Saskatchewan,Western
522,-102.35,55.533,ISLAND FALLS (AUT),4063605,SK,-22.1,1.0,-2.8,1.0,-38.3,0.0,36.6,1.0,10.0,1203.1,0.0,2018,1,Saskatchewan,Western
524,-105.6,57.25,KEY LAKE,4063753,SK,-23.8,3.0,-2.9,3.0,-41.2,2.0,23.4,3.0,7.0,1170.9,0.0,2018,1,Saskatchewan,Western
528,-105.267,55.151,LA RONGE A,4064155,SK,-19.9,1.0,-1.6,1.0,-36.4,0.0,47.8,0.0,7.0,1135.9,0.0,2018,1,Saskatchewan,Western
529,-109.138,54.02,LOON LAKE RCS,4064620,SK,-13.5,0.0,6.0,0.0,-37.9,0.0,33.3,0.0,4.0,976.6,0.0,2018,1,Saskatchewan,Western
531,-103.283,56.333,SOUTHEND,4067655,SK,-22.6,0.0,-2.5,0.0,-39.4,0.0,42.0,0.0,9.0,1257.6,0.0,2018,1,Saskatchewan,Western
532,-107.55,53.367,SPIRITWOOD WEST,4067723,SK,-14.4,0.0,5.6,0.0,-35.0,0.0,19.8,0.0,3.0,1004.8,0.0,2018,1,Saskatchewan,Western
534,-106.067,53.917,WASKESIU LAKE,4068559,SK,-16.1,0.0,1.9,0.0,-33.6,0.0,28.9,0.0,6.0,1057.9,0.0,2018,1,Saskatchewan,Western
535,-108.517,54.133,MEADOW LAKE,406N0NM,SK,-15.5,0.0,4.4,0.0,-37.4,0.0,28.7,0.0,4.0,1037.0,0.0,2018,1,Saskatchewan,Western
537,-104.008,53.333,NIPAWIN,4075525,SK,-17.5,5.0,-0.7,5.0,-37.2,5.0,1.6,5.0,1.0,923.8,0.0,2018,1,Saskatchewan,Western
539,-102.317,52.817,HUDSON BAY(AUT),4083324,SK,-17.9,0.0,-0.6,0.0,-35.9,0.0,22.8,0.0,5.0,1112.3,0.0,2018,1,Saskatchewan,Western
541,-99.292,49.276,BALDUR,5010140,MB,-13.6,2.0,4.5,1.0,-32.5,1.0,7.0,1.0,3.0,917.2,0.0,2018,1,Manitoba,Western
542,-99.952,49.91,BRANDON A,5010481,MB,-13.9,0.0,4.5,0.0,-32.1,0.0,4.8,0.0,3.0,989.4,0.0,2018,1,Manitoba,Western
544,-99.357,49.906,CARBERRY CS,5010547,MB,-14.2,2.0,4.3,2.0,-29.7,0.0,4.9,2.0,2.0,932.5,0.0,2018,1,Manitoba,Western
546,-101.203,49.927,ELKHORN 2 EAST,5010QFQ,MB,-11.9,2.0,5.5,2.0,-32.5,2.0,8.0,2.0,6.0,867.6,0.0,2018,1,Manitoba,Western
550,-101.363,51.183,ROBLIN,5012469,MB,-15.4,0.0,3.0,0.0,-35.3,0.0,9.4,0.0,4.0,1035.0,0.0,2018,1,Manitoba,Western
554,-100.986,49.281,MELITA,501A7AR,MB,-12.5,0.0,6.9,0.0,-33.3,0.0,0.8,0.0,0.0,946.5,0.0,2018,1,Manitoba,Western
559,-97.238,49.0,EMERSON AUTO,5020881,MB,-13.4,0.0,4.1,0.0,-29.9,0.0,3.6,0.0,1.0,974.1,0.0,2018,1,Manitoba,Western
562,-96.901,49.518,KLEEFELD (MAFRI),5021500,MB,-14.6,1.0,3.4,1.0,-31.6,0.0,3.1,6.0,1.0,979.3,0.0,2018,1,Manitoba,Western
563,-97.807,50.013,MARQUETTE,5021695,MB,-13.7,19.0,4.0,19.0,-29.0,19.0,2.6,19.0,1.0,380.7,0.0,2018,1,Manitoba,Western
564,-98.084,49.188,MORDEN CDA CS,5021849,MB,-12.2,0.0,6.6,0.0,-28.2,0.0,5.9,0.0,2.0,934.9,0.0,2018,1,Manitoba,Western
570,-95.598,49.024,SPRAGUE,5022759,MB,-15.3,1.0,4.7,1.0,-38.0,0.0,10.9,1.0,4.0,1000.3,0.0,2018,1,Manitoba,Western
571,-97.167,50.117,STONY MOUNTAIN,5022791,MB,-14.9,0.0,3.5,0.0,-31.0,0.0,0.4,0.0,0.0,1019.8,0.0,2018,1,Manitoba,Western
578,-97.555,51.083,FISHER BRANCH (AUT),50309J6,MB,-16.5,0.0,2.6,0.0,-35.9,0.0,6.0,0.0,2.0,1068.7,0.0,2018,1,Manitoba,Western
580,-97.05,50.633,GIMLI CLIMATE,5031042,MB,-16.1,0.0,1.5,0.0,-35.0,0.0,4.1,0.0,1.0,1058.0,0.0,2018,1,Manitoba,Western
582,-95.977,50.522,GREAT FALLS CLIMATE,5031201,MB,-15.5,0.0,2.1,0.0,-33.9,0.0,13.7,0.0,3.0,1037.6,0.0,2018,1,Manitoba,Western
584,-95.197,49.624,INDIAN BAY,5031320,MB,-15.4,0.0,6.0,0.0,-41.0,0.0,22.0,0.0,7.0,1034.3,0.0,2018,1,Manitoba,Western
585,-99.268,53.186,GRAND RAPIDS (AUT),5031A10,MB,-19.8,0.0,0.3,0.0,-35.9,0.0,37.2,0.0,8.0,1170.5,0.0,2018,1,Manitoba,Western
590,-100.057,51.1,DAUPHIN CS,5040681,MB,-14.5,0.0,5.3,0.0,-33.0,0.0,12.4,0.0,2.0,1006.9,0.0,2018,1,Manitoba,Western
